Source,Target,Weight,Type
465,491,2.0712,Undirected
221,242,1.5910,Undirected
767,4486,4.4219,Undirected
459241,2509,1.7114,Undirected
923,13257,1.2816,Undirected
2592,5878,2.1661,Undirected
221,244,1.6955,Undirected
1452,18845,2.2197,Undirected
48,923,3.2721,Undirected
145,523,1.6336,Undirected
27,2969,1.3811,Undirected
498,724,1.2268,Undirected
48,523,1.4278,Undirected
236,1601,1.3596,Undirected
49,60,1.2906,Undirected
236,55840,1.0374,Undirected
2467,7710,4.7534,Undirected
39,724,5.7755,Undirected
188,7024,1.6736,Undirected
4486,18845,2.0190,Undirected
422,498,4.8454,Undirected
915,2418,3.4487,Undirected
184,18845,2.3962,Undirected
26,48,2.4283,Undirected
94,1601,1.0836,Undirected
26,1237,51.0712,Undirected
392,803,2.3125,Undirected
885,6223,4.8552,Undirected
106,7024,1.3094,Undirected
922,951,2.4091,Undirected
2869,9246,1.4660,Undirected
400,402,1.2824,Undirected
1237,7710,2.6754,Undirected
7725,16742,2.4047,Undirected
671,797,3.7077,Undirected
26,7710,1.2656,Undirected
724,3490,4.2320,Undirected
671,687,3.0030,Undirected
922,7024,2.3997,Undirected
803,814,7.7908,Undirected
671,685,1.5105,Undirected
188,7125,2.6454,Undirected
10679,145209,1.7639,Undirected
1601,6223,1.2760,Undirected
6908,25116,1.8120,Undirected
813,814,3.5534,Undirected
128,724,6.5500,Undirected
1446,2853,3.7476,Undirected
422,13923,1.5276,Undirected
184,797,14.5181,Undirected
128,951,2.3960,Undirected
9846,18845,4.6011,Undirected
48,2738,2.6904,Undirected
38,859,2.3755,Undirected
60,922,1.9806,Undirected
922,638520,1.0106,Undirected
797,385234,1.4221,Undirected
696,2418,4.2969,Undirected
188,767,5.0276,Undirected
140,656,1.7208,Undirected
1003,1609,3.6557,Undirected
48,72,3.5451,Undirected
767,977,1.3395,Undirected
7024,10453,1.0000,Undirected
300,1237,1.2404,Undirected
12022,48636,1.3852,Undirected
300,724,1.1587,Undirected
422,4486,1.4820,Undirected
2008,26860,1.0641,Undirected
188,4486,2.1960,Undirected
767,18845,2.2010,Undirected
803,1200,2.2204,Undirected
188,915,2.5464,Undirected
261,1512,1.5071,Undirected
38,922,3.8642,Undirected
188,4195,2.5236,Undirected
11973,17733,1.0443,Undirected
184,671,4.1818,Undirected
73,922,2.2771,Undirected
9538,13258,1.2406,Undirected
47,25116,2.0149,Undirected
797,803,7.0373,Undirected
145,2513,2.5497,Undirected
977,727,1.4716,Undirected
184,814,1.0293,Undirected
1279,9846,1.0067,Undirected
2418,4486,1.1232,Undirected
7024,7125,1.7836,Undirected
803,11927,1.0145,Undirected
797,2575,6.3680,Undirected
922,3136,1.5421,Undirected
767,3499,2.5795,Undirected
48636,27305,1.0647,Undirected
392,42197,2.3339,Undirected
928,1555,1.6519,Undirected
184,7725,1.1170,Undirected
821,2509,4.0741,Undirected
1372,18845,5.4612,Undirected
546,548,1.9113,Undirected
8,4195,1.1484,Undirected
26,4486,2.7515,Undirected
422,1614,1.6671,Undirected
2418,6223,1.8144,Undirected
821,922,1.2096,Undirected
184,7125,4.4021,Undirected
803,2065,2.4051,Undirected
422,1380,12.9853,Undirected
1200,7709,3.6321,Undirected
803,815,2.5001,Undirected
155,9846,1.6811,Undirected
1290,2513,1.7912,Undirected
1601,3392,3.0921,Undirected
4486,5709,2.2157,Undirected
173,17825,1.0060,Undirected
8,813,1.8126,Undirected
128,928,1.1833,Undirected
39,2065,2.4584,Undirected
540,11150,1.5464,Undirected
221,1237,8.2307,Undirected
814,2592,1.4390,Undirected
5398,2513,4.1450,Undirected
1707,6416,1.2387,Undirected
261,767,2.5624,Undirected
184,3136,1.4411,Undirected
922,15674,2.3569,Undirected
859,7125,2.2256,Undirected
2553,9246,1.8941,Undirected
422,922,22.6004,Undirected
2524,6223,1.3956,Undirected
1512,45405,1.2222,Undirected
48,4523,1.3809,Undirected
128,1601,1.3037,Undirected
1419,406,1.4339,Undirected
1300,9538,1.2791,Undirected
1237,2418,12.2667,Undirected
49,1224548,1.3169,Undirected
128,221,8.1292,Undirected
137,724,1.0804,Undirected
49,5473,1.2587,Undirected
146,2008,2.9887,Undirected
2015,18623,1.4042,Undirected
188,1372,1.6961,Undirected
26,37,1.1201,Undirected
128,6223,1.0469,Undirected
48,18845,2.9845,Undirected
221,237,4.1249,Undirected
498,1736,1.8018,Undirected
184,724,9.5365,Undirected
392,816,1.6521,Undirected
1380,491,1.6135,Undirected
696,797,1.3865,Undirected
797,7710,1.0052,Undirected
47,3490,9.8660,Undirected
392,393,2.8007,Undirected
1372,7710,1.0024,Undirected
26,38,8.5349,Undirected
38,1237,2.6207,Undirected
392,7870,2.0094,Undirected
27,859,4.5737,Undirected
8,797,1.4191,Undirected
803,859,7.3708,Undirected
859,2969,1.4336,Undirected
26,47,6.9159,Undirected
922,994,1.2953,Undirected
922,933,1.6604,Undirected
797,7024,1.2905,Undirected
814,902,1.0749,Undirected
48,7710,1.1609,Undirected
148,17825,1.1756,Undirected
48,1432,1.3678,Undirected
188,9246,1.7186,Undirected
184,859,6.4427,Undirected
402,9846,1.4101,Undirected
392,7125,1.5943,Undirected
49,2738,2.5717,Undirected
1609,1000,1.0570,Undirected
422,2009,6.8356,Undirected
767,1237,17.3006,Undirected
724,922,15.9393,Undirected
859,4730,1.0532,Undirected
449,2009,1.6463,Undirected
523,9846,1.0384,Undirected
491,4252,1.0752,Undirected
922,928,2.2623,Undirected
2418,7024,1.6320,Undirected
261,2418,2.2936,Undirected
1094,1601,1.1216,Undirected
26,3490,3.1072,Undirected
261,797,10.2531,Undirected
4808,18845,1.4374,Undirected
821,3723,8.3949,Undirected
221,803,15.0166,Undirected
859,4986,1.0062,Undirected
422,491,11.7398,Undirected
26,261,5.7725,Undirected
49837,92517,2.9493,Undirected
10679,46271,2.1695,Undirected
2575,4486,1.9158,Undirected
922,2969,1.4445,Undirected
26,13257,3.0646,Undirected
2482,4252,1.7670,Undirected
173,7710,1.1933,Undirected
188,803,5.5310,Undirected
4486,385234,1.4177,Undirected
1512,4524,1.8167,Undirected
65733,55840,1.0100,Undirected
39,29575,1.0797,Undirected
145,7710,1.5943,Undirected
221,248,9.3996,Undirected
128,2418,8.2811,Undirected
1555,3301,1.4310,Undirected
8,767,1.5532,Undirected
799,801,3.3156,Undirected
60,62,1.6136,Undirected
60,2298,1.1926,Undirected
4714,4917,1.2852,Undirected
1237,491,1.0666,Undirected
797,5878,2.7708,Undirected
1200,1237,1.2230,Undirected
803,915,5.7676,Undirected
221,4486,2.4019,Undirected
922,9846,1.0770,Undirected
1007,6223,1.3681,Undirected
1200,7125,1.0199,Undirected
922,1372,6.9468,Undirected
26,55840,1.8277,Undirected
103213,5398,1.0646,Undirected
803,3723,1.0888,Undirected
38,55840,1.6476,Undirected
422,1237,6.4844,Undirected
27,39,2.9895,Undirected
38,491,1.0865,Undirected
422,2345,2.0824,Undirected
2467,18845,1.4276,Undirected
188,696,4.5264,Undirected
821,22760,3.4195,Undirected
3490,3492,1.9531,Undirected
221,3279,1.1114,Undirected
1241,1609,1.0207,Undirected
5709,7125,1.3640,Undirected
7710,18845,4.5381,Undirected
988,1372,3.9500,Undirected
922,2277,1.0139,Undirected
797,922,23.9058,Undirected
797,1439,1.3893,Undirected
2738,14084,1.1403,Undirected
